選手名,球団,区分,打率,打数,安打,本塁打,打点,更新日
小林 誠司,読売ジャイアンツ,対右,0.500,2,1,0,0,2026/05/17
大城 卓三,読売ジャイアンツ,対右,0.302,43,13,3,10,2026/05/17
大城 卓三,読売ジャイアンツ,対左,0.353,17,6,1,1,2026/05/17
岸田 行倫,読売ジャイアンツ,対右,0.278,36,10,1,5,2026/05/17
岸田 行倫,読売ジャイアンツ,対左,0.219,32,7,0,3,2026/05/17
山瀬 慎之助,読売ジャイアンツ,対右,0.167,6,1,0,1,2026/05/17
山瀬 慎之助,読売ジャイアンツ,対左,0.286,7,2,1,1,2026/05/17
吉川 尚輝,読売ジャイアンツ,対右,0.290,31,9,0,1,2026/05/17
吉川 尚輝,読売ジャイアンツ,対左,0.095,21,2,0,0,2026/05/17
門脇 誠,読売ジャイアンツ,対右,0.167,12,2,0,0,2026/05/17
門脇 誠,読売ジャイアンツ,対左,0.143,7,1,0,0,2026/05/17
坂本 勇人,読売ジャイアンツ,対右,0.111,18,2,1,3,2026/05/17
坂本 勇人,読売ジャイアンツ,対左,0.207,29,6,1,1,2026/05/17
石塚 裕惺,読売ジャイアンツ,対右,0.125,8,1,0,2,2026/05/17
石塚 裕惺,読売ジャイアンツ,対左,0.000,3,0,0,0,2026/05/17
ダルベック,読売ジャイアンツ,対右,0.280,82,23,6,14,2026/05/17
ダルベック,読売ジャイアンツ,対左,0.208,53,11,2,8,2026/05/17
浦田 俊輔,読売ジャイアンツ,対右,0.273,66,18,0,6,2026/05/17
浦田 俊輔,読売ジャイアンツ,対左,0.190,42,8,0,2,2026/05/17
小濱 佑斗,読売ジャイアンツ,対右,0.200,10,2,0,1,2026/05/17
小濱 佑斗,読売ジャイアンツ,対左,0.273,11,3,0,4,2026/05/17
泉口 友汰,読売ジャイアンツ,対右,0.193,57,11,2,6,2026/05/17
泉口 友汰,読売ジャイアンツ,対左,0.267,45,12,1,2,2026/05/17
増田 陸,読売ジャイアンツ,対右,0.279,61,17,1,8,2026/05/17
増田 陸,読売ジャイアンツ,対左,0.268,41,11,1,3,2026/05/17
宇都宮 葵星,読売ジャイアンツ,対右,1.000,1,1,0,0,2026/05/17
宇都宮 葵星,読売ジャイアンツ,対左,0.000,1,0,0,0,2026/05/17
平山 功太,読売ジャイアンツ,対右,0.200,35,7,0,4,2026/05/17
平山 功太,読売ジャイアンツ,対左,0.333,30,10,1,4,2026/05/17
丸 佳浩,読売ジャイアンツ,対右,0.100,20,2,1,6,2026/05/17
丸 佳浩,読売ジャイアンツ,対左,0.000,3,0,0,0,2026/05/17
松本 剛,読売ジャイアンツ,対右,0.129,31,4,0,0,2026/05/17
松本 剛,読売ジャイアンツ,対左,0.229,48,11,0,2,2026/05/17
萩尾 匡也,読売ジャイアンツ,対右,0.000,2,0,0,0,2026/05/17
キャベッジ,読売ジャイアンツ,対右,0.299,77,23,5,11,2026/05/17
キャベッジ,読売ジャイアンツ,対左,0.263,76,20,2,3,2026/05/17
皆川 岳飛,読売ジャイアンツ,対右,0.200,5,1,0,0,2026/05/17
皆川 岳飛,読売ジャイアンツ,対左,0.000,3,0,0,0,2026/05/17
中山 礼都,読売ジャイアンツ,対右,0.184,38,7,0,1,2026/05/17
中山 礼都,読売ジャイアンツ,対左,0.050,20,1,0,0,2026/05/17
佐々木 俊輔,読売ジャイアンツ,対右,0.314,70,22,4,10,2026/05/17
佐々木 俊輔,読売ジャイアンツ,対左,0.143,28,4,0,1,2026/05/17
若林 楽人,読売ジャイアンツ,対右,0.000,7,0,0,0,2026/05/17
若林 楽人,読売ジャイアンツ,対左,0.333,12,4,0,0,2026/05/17
古賀 優大,東京ヤクルトスワローズ,対右,0.282,78,22,0,10,2026/05/17
古賀 優大,東京ヤクルトスワローズ,対左,0.286,21,6,0,3,2026/05/17
中村 悠平,東京ヤクルトスワローズ,対右,0.125,8,1,0,0,2026/05/17
中村 悠平,東京ヤクルトスワローズ,対左,0.167,6,1,0,0,2026/05/17
橋本 星哉,東京ヤクルトスワローズ,対右,0.154,13,2,0,1,2026/05/17
橋本 星哉,東京ヤクルトスワローズ,対左,0.000,1,0,0,0,2026/05/17
鈴木 叶,東京ヤクルトスワローズ,対右,0.256,39,10,1,7,2026/05/17
鈴木 叶,東京ヤクルトスワローズ,対左,0.150,20,3,0,2,2026/05/17
赤羽 由紘,東京ヤクルトスワローズ,対右,0.263,38,10,1,3,2026/05/17
赤羽 由紘,東京ヤクルトスワローズ,対左,0.286,21,6,1,3,2026/05/17
内山 壮真,東京ヤクルトスワローズ,対右,0.356,45,16,1,7,2026/05/17
内山 壮真,東京ヤクルトスワローズ,対左,0.091,11,1,1,1,2026/05/17
長岡 秀樹,東京ヤクルトスワローズ,対右,0.303,76,23,0,3,2026/05/17
長岡 秀樹,東京ヤクルトスワローズ,対左,0.176,34,6,0,2,2026/05/17
茂木 栄五郎,東京ヤクルトスワローズ,対右,0.227,22,5,0,1,2026/05/17
茂木 栄五郎,東京ヤクルトスワローズ,対左,0.000,3,0,0,0,2026/05/17
宮本 丈,東京ヤクルトスワローズ,対右,0.333,15,5,1,3,2026/05/17
宮本 丈,東京ヤクルトスワローズ,対左,0.000,1,0,0,0,2026/05/17
石井 巧,東京ヤクルトスワローズ,対右,0.000,4,0,0,0,2026/05/17
石井 巧,東京ヤクルトスワローズ,対左,0.125,8,1,0,1,2026/05/17
北村 恵吾,東京ヤクルトスワローズ,対右,0.250,4,1,0,1,2026/05/17
北村 恵吾,東京ヤクルトスワローズ,対左,0.000,9,0,0,0,2026/05/17
田中 陽翔,東京ヤクルトスワローズ,対右,0.206,34,7,0,1,2026/05/17
田中 陽翔,東京ヤクルトスワローズ,対左,0.222,9,2,0,2,2026/05/17
武岡 龍世,東京ヤクルトスワローズ,対右,0.209,91,19,2,7,2026/05/17
武岡 龍世,東京ヤクルトスワローズ,対左,0.450,20,9,1,4,2026/05/17
伊藤 琉偉,東京ヤクルトスワローズ,対右,0.143,49,7,1,2,2026/05/17
伊藤 琉偉,東京ヤクルトスワローズ,対左,0.194,31,6,1,4,2026/05/17
並木 秀尊,東京ヤクルトスワローズ,対右,0.308,26,8,0,1,2026/05/17
並木 秀尊,東京ヤクルトスワローズ,対左,0.222,18,4,1,1,2026/05/17
丸山 和郁,東京ヤクルトスワローズ,対右,0.419,62,26,2,8,2026/05/17
丸山 和郁,東京ヤクルトスワローズ,対左,0.231,13,3,0,0,2026/05/17
サンタナ,東京ヤクルトスワローズ,対右,0.255,98,25,8,17,2026/05/17
サンタナ,東京ヤクルトスワローズ,対左,0.242,33,8,1,1,2026/05/17
モイセエフ ニキータ,東京ヤクルトスワローズ,対右,-,0,0,0,0,2026/05/17
モイセエフ ニキータ,東京ヤクルトスワローズ,対左,0.000,1,0,0,0,2026/05/17
澤井 廉,東京ヤクルトスワローズ,対右,0.182,11,2,1,2,2026/05/17
澤井 廉,東京ヤクルトスワローズ,対左,0.400,5,2,0,0,2026/05/17
増田 珠,東京ヤクルトスワローズ,対右,0.356,45,16,3,10,2026/05/17
増田 珠,東京ヤクルトスワローズ,対左,0.259,27,7,0,3,2026/05/17
岩田 幸宏,東京ヤクルトスワローズ,対右,0.268,97,26,1,9,2026/05/17
岩田 幸宏,東京ヤクルトスワローズ,対左,0.280,25,7,0,1,2026/05/17
松尾 汐恩,横浜DeNAベイスターズ,対右,0.129,31,4,0,1,2026/05/17
松尾 汐恩,横浜DeNAベイスターズ,対左,0.300,20,6,0,2,2026/05/17
戸柱 恭孝,横浜DeNAベイスターズ,対右,0.375,8,3,0,3,2026/05/17
戸柱 恭孝,横浜DeNAベイスターズ,対左,0.167,6,1,0,0,2026/05/17
九鬼 隆平,横浜DeNAベイスターズ,対右,0.500,2,1,0,0,2026/05/17
九鬼 隆平,横浜DeNAベイスターズ,対左,0.000,3,0,0,0,2026/05/17
林 琢真,横浜DeNAベイスターズ,対右,0.262,42,11,0,9,2026/05/17
林 琢真,横浜DeNAベイスターズ,対左,0.200,35,7,1,5,2026/05/17
牧 秀悟,横浜DeNAベイスターズ,対右,0.320,50,16,2,8,2026/05/17
牧 秀悟,横浜DeNAベイスターズ,対左,0.357,28,10,0,2,2026/05/17
京田 陽太,横浜DeNAベイスターズ,対右,0.286,56,16,0,5,2026/05/17
京田 陽太,横浜DeNAベイスターズ,対左,0.286,14,4,0,1,2026/05/17
筒香 嘉智,横浜DeNAベイスターズ,対右,0.407,27,11,3,6,2026/05/17
筒香 嘉智,横浜DeNAベイスターズ,対左,0.211,19,4,0,2,2026/05/17
三森 大貴,横浜DeNAベイスターズ,対右,0.220,50,11,0,3,2026/05/17
三森 大貴,横浜DeNAベイスターズ,対左,0.300,30,9,0,4,2026/05/17
宮下 朝陽,横浜DeNAベイスターズ,対右,0.077,13,1,0,0,2026/05/17
宮下 朝陽,横浜DeNAベイスターズ,対左,0.167,12,2,1,2,2026/05/17
石上 泰輝,横浜DeNAベイスターズ,対右,0.100,10,1,0,1,2026/05/17
石上 泰輝,横浜DeNAベイスターズ,対左,0.000,5,0,0,0,2026/05/17
