試合ID,試合日,チーム,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,対戦相手
20260327_b-e-01,2026-03-27,オリックス・バファローズ,宗,西川,太田,シーモア,若月,森友,中川,紅林,廣岡,宮城,東北楽天ゴールデンイーグルス
20260327_b-e-01,2026-03-27,東北楽天ゴールデンイーグルス,村林,辰己,ボイト,マッカスカー,黒川,浅村,中島,太田,小深田,荘司,オリックス・バファローズ
20260327_c-d-01,2026-03-27,中日ドラゴンズ,カリステ,田中,岡林,細川,福永,サノー,石伊,村松,柳,,広島東洋カープ
20260327_c-d-01,2026-03-27,広島東洋カープ,平川,中村奨,小園,佐々木,ファビアン,菊池,坂倉,勝田,床田,,中日ドラゴンズ
20260327_db-s-01,2026-03-27,東京ヤクルトスワローズ,長岡,サンタナ,古賀,オスナ,増田,赤羽,岩田,伊藤,吉村,,横浜DeNAベイスターズ
20260327_db-s-01,2026-03-27,横浜DeNAベイスターズ,牧,佐野,宮﨑,ビシエド,ヒュンメル,蝦名,山本,石上,東,,東京ヤクルトスワローズ
20260327_g-t-01,2026-03-27,読売ジャイアンツ,キャベッジ,松本,泉口,ダルベック,岸田,中山,坂本勇,浦田,竹丸,,阪神タイガース
20260327_g-t-01,2026-03-27,阪神タイガース,近本,中野,森下,佐藤,大山,中川,小幡,坂本,村上,,読売ジャイアンツ
20260327_h-f-01,2026-03-27,北海道日本ハムファイターズ,水谷,清宮幸,レイエス,郡司,万波,矢澤,山縣,田宮,水野,伊藤,福岡ソフトバンクホークス
20260327_h-f-01,2026-03-27,福岡ソフトバンクホークス,周東,近藤,柳町,柳田,山川,今宮,栗原,海野,牧原大,上沢,北海道日本ハムファイターズ
20260327_m-l-01,2026-03-27,千葉ロッテマリーンズ,髙部,藤原,西川,ポランコ,寺地,ソト,池田,松川,小川,毛利,埼玉西武ライオンズ
20260327_m-l-01,2026-03-27,埼玉西武ライオンズ,桑原,長谷川,西川,カナリオ,外崎,渡部,源田,滝澤,小島,渡邉,千葉ロッテマリーンズ
