選手名,チーム,試合,打率,本塁打,打点,安打,盗塁,出塁率,長打率,OPS,打席
赤星 優志,巨人,10,0,0,0,0,0,0,0,0,2
石川 達也,巨人,6,0,0,0,0,0,0,0,0,0
石塚 裕惺,巨人,3,0.091,0,2,1,0,0.091,0.273,0.364,11
泉口 友汰,巨人,24,0.247,3,8,22,3,0.306,0.382,0.688,98
泉 圭輔,巨人,2,0,0,0,0,0,0,0,0,0
井上 温大,巨人,5,0.125,0,0,1,0,0.125,0.125,0.25,9
ウィットリー,巨人,5,0,0,1,0,0,0.091,0,0.091,11
宇都宮 葵星,巨人,6,0.5,0,0,1,0,0.5,0.5,1,2
浦田 俊輔,巨人,29,0.191,0,3,17,6,0.258,0.225,0.483,100
大城 卓三,巨人,18,0.326,3,9,14,0,0.431,0.581,1.012,51
門脇 誠,巨人,22,0.167,0,0,3,0,0.167,0.222,0.389,18
キャベッジ,巨人,34,0.267,5,11,36,3,0.288,0.43,0.718,139
岸田 行倫,巨人,20,0.239,1,8,16,0,0.264,0.299,0.563,74
北浦 竜次,巨人,11,0,0,0,0,0,0,0,0,0
小濱 佑斗,巨人,7,0.238,0,5,5,0,0.304,0.286,0.59,23
小林 誠司,巨人,2,0,0,0,0,0,0,0,0,1
坂本 勇人,巨人,18,0.14,1,1,6,0,0.229,0.209,0.438,48
佐々木 俊輔,巨人,29,0.259,3,9,21,2,0.286,0.444,0.73,84
ダルベック,巨人,33,0.246,7,19,28,0,0.346,0.491,0.837,133
大勢,巨人,12,0,0,0,0,0,0,0,0,0
高梨 雄平,巨人,3,0,0,0,0,0,0,0,0,0
竹丸 和幸,巨人,6,0.1,0,1,1,0,0.1,0.1,0.2,11
田中 瑛斗,巨人,14,0,0,0,0,0,0,0,0,0
田中 将大,巨人,6,0,0,0,0,0,0,0,0,13
田和 廉,巨人,14,0,0,0,0,0,0,0,0,0
戸郷 翔征,巨人,1,0.5,0,0,1,0,0.5,0.5,1,2
中川 皓太,巨人,12,0,0,0,0,0,0,0,0,0
中山 礼都,巨人,18,0.154,0,1,8,0,0.228,0.192,0.42,57
則本 昂大,巨人,4,0.167,0,0,1,0,0.167,0.167,0.334,6
ハワード,巨人,2,0,0,0,0,0,0,0,0,2
萩尾 匡也,巨人,4,0,0,0,0,1,0.333,0,0.333,3
平山 功太,巨人,18,0.216,1,6,11,0,0.245,0.294,0.539,53
船迫 大雅,巨人,13,0,0,0,0,0,0,0,0,0
堀田 賢慎,巨人,2,0,0,0,0,0,0,0,0,0
マタ,巨人,3,0,0,0,0,0,0,0,0,5
マルティネス,巨人,11,0,0,0,0,0,0,0,0,0
増田 陸,巨人,30,0.278,2,10,25,1,0.29,0.4,0.69,93
又木 鉄平,巨人,4,0,0,0,0,0,0,0,0,2
松本 剛,巨人,30,0.195,0,2,15,3,0.244,0.221,0.465,84
丸 佳浩,巨人,9,0.133,1,6,2,0,0.235,0.4,0.635,17
皆川 岳飛,巨人,8,0.125,0,0,1,0,0.222,0.125,0.347,9
宮原 駿介,巨人,1,0,0,0,0,0,0,0,0,0
山城 京平,巨人,1,0,0,0,0,0,0,0,0,0
山瀬 慎之助,巨人,5,0.231,1,2,3,0,0.231,0.538,0.769,13
吉川 尚輝,巨人,11,0.206,0,0,7,2,0.25,0.206,0.456,36
ルシアーノ,巨人,11,0,0,0,0,0,0,0,0,0
若林 楽人,巨人,13,0.211,0,0,4,0,0.211,0.211,0.422,19
石黒 佑弥,阪神,6,0,0,0,0,0,0,0,0,1
井坪 陽生,阪神,2,0,0,0,0,0,0,0,0,2
伊藤 将司,阪神,1,1,0,2,1,0,1,2,3,1
糸原 健斗,阪神,4,0,0,0,0,0,0,0,0,4
伊原 陵人,阪神,3,0.25,0,1,1,0,0.25,0.25,0.5,5
茨木 秀俊,阪神,2,0,0,0,0,0,0.25,0,0.25,4
岩貞 祐太,阪神,1,0,0,0,0,0,0,0,0,0
岩崎 優,阪神,9,0,0,0,0,0,0,0,0,0
植田 海,阪神,5,0,0,1,0,1,1,0,1,2
梅野 隆太郎,阪神,3,0,0,0,0,0,0.125,0,0.125,8
大竹 耕太郎,阪神,5,0.1,0,0,1,0,0.1,0.1,0.2,12
大山 悠輔,阪神,34,0.269,4,20,32,0,0.378,0.42,0.798,143
岡城 快生,阪神,9,0.235,0,1,4,0,0.278,0.294,0.572,18
小野寺 暖,阪神,10,0.286,0,1,2,0,0.286,0.286,0.572,7
小幡 竜平,阪神,25,0.275,0,4,19,1,0.324,0.319,0.643,76
及川 雅貴,阪神,5,0,0,0,0,0,0,0,0,0
木浪 聖也,阪神,24,0.275,1,11,19,1,0.338,0.333,0.671,77
木下 里都,阪神,3,0,0,0,0,0,0,0,0,0
桐敷 拓馬,阪神,14,0,0,0,0,0,0,0,0,0
工藤 泰成,阪神,7,0,0,0,0,0,0,0,0,0
熊谷 敬宥,阪神,14,0.214,0,1,3,1,0.267,0.286,0.553,16
才木 浩人,阪神,6,0,0,0,0,0,0.111,0,0.111,12
坂本 誠志郎,阪神,24,0.203,0,9,13,2,0.284,0.266,0.55,75
佐藤 輝明,阪神,35,0.378,9,29,48,2,0.46,0.748,1.208,150
椎葉 剛,阪神,1,0,0,0,0,0,0,0,0,0
嶋村 麟士朗,阪神,4,0.2,0,0,1,0,0.2,0.2,0.4,5
髙寺 望夢,阪神,25,0.26,1,6,13,3,0.406,0.36,0.766,64
髙橋 遥人,阪神,5,0.231,0,0,3,0,0.231,0.231,0.462,17
近本 光司,阪神,24,0.25,0,5,24,6,0.336,0.292,0.628,110
津田 淳哉,阪神,1,0,0,0,0,0,0,0,0,0
ドリス,阪神,13,0,0,0,0,0,0,0,0,0
富田 蓮,阪神,1,0,0,0,0,0,0,0,0,0
中川 勇斗,阪神,10,0.053,0,2,1,0,0.25,0.105,0.355,25
中野 拓夢,阪神,35,0.294,0,9,37,3,0.331,0.349,0.68,140
西 勇輝,阪神,1,0,0,0,0,0,0,0,0,2
畠 世周,阪神,2,0,0,0,0,0,0,0,0,0
濱田 太貴,阪神,8,0,0,0,0,0,0.125,0,0.125,8
早川 太貴,阪神,8,0,0,0,0,0,0,0,0,2
福島 圭音,阪神,21,0.27,0,2,17,2,0.352,0.349,0.701,71
伏見 寅威,阪神,19,0.116,0,5,5,0,0.204,0.116,0.32,53
前川 右京,阪神,17,0.244,1,7,10,0,0.295,0.39,0.685,44
村上 頌樹,阪神,7,0.083,0,0,1,0,0.154,0.083,0.237,15
モレッタ,阪神,14,0,0,0,0,0,0,0,0,0
元山 飛優,阪神,1,0,0,0,0,0,0,0,0,1
森下 翔太,阪神,35,0.324,9,20,44,2,0.392,0.603,0.995,153
門別 啓人,阪神,1,0,0,0,0,0,0,0,0,2
湯浅 京己,阪神,13,0,0,0,0,0,0,0,0,0
ルーカス,阪神,3,0,0,0,0,0,0,0,0,4
東 克樹,DeNA,6,0,0,0,0,0,0,0,0,15
石上 泰輝,DeNA,8,0.067,0,1,1,0,0.176,0.133,0.309,17
石田 健大,DeNA,2,0,0,0,0,0,0,0,0,0
石田 裕太郎,DeNA,6,0.222,0,0,2,0,0.222,0.222,0.444,12
伊勢 大夢,DeNA,10,0,0,0,0,0,0,0,0,0
入江 大生,DeNA,3,0.25,0,2,1,0,0.25,0.5,0.75,5
岩田 将貴,DeNA,1,0,0,0,0,0,0,0,0,0
蝦名 達夫,DeNA,28,0.235,1,6,20,3,0.301,0.294,0.595,94
梶原 昂希,DeNA,7,0.143,0,0,2,1,0.25,0.214,0.464,16
片山 皓心,DeNA,1,0,0,0,0,0,0,0,0,0
勝又 温史,DeNA,20,0.397,0,10,25,1,0.415,0.444,0.859,65
神里 和毅,DeNA,20,0.125,0,1,1,1,0.3,0.125,0.425,11
京田 陽太,DeNA,22,0.304,0,6,17,1,0.339,0.357,0.696,60
九鬼 隆平,DeNA,5,0.2,0,0,1,0,0.2,0.2,0.4,5
コックス,DeNA,2,0,0,0,0,0,0,0,0,4
坂本 裕哉,DeNA,14,0,0,0,0,0,0,0,0,0
佐野 恵太,DeNA,34,0.263,4,21,35,0,0.347,0.414,0.761,150
篠木 健太郎,DeNA,2,0.25,0,0,1,0,0.25,0.25,0.5,4
柴田 竜拓,DeNA,9,0.333,0,0,1,0,0.333,0.333,0.666,4
島田 舜也,DeNA,1,0,0,0,0,0,0,0,0,2
平良 拳太郎,DeNA,5,0,0,0,0,0,0.167,0,0.167,7
竹田 祐,DeNA,4,0.111,0,0,1,0,0.111,0.111,0.222,9
筒香 嘉智,DeNA,9,0.393,2,5,11,0,0.514,0.679,1.193,35
デュプランティエ,DeNA,2,0,0,0,0,0,0,0,0,3
戸柱 恭孝,DeNA,8,0.364,0,3,4,0,0.462,0.455,0.917,13
