選手名,チーム,登板,勝利,敗戦,セーブ,ＨＰ,防御率,奪三振,勝率,投球回
赤星 優志,巨人,3,1,0,0,2,0.00,2,1.00,4.1
石川 達也,巨人,1,0,0,0,0,36.00,1,0.00,1
泉 圭輔,巨人,2,0,0,0,0,0.00,1,0.00,2
井上 温大,巨人,1,1,0,0,0,1.29,8,1.00,7
ウィットリー,巨人,1,0,0,0,0,3.60,4,0.00,5
北浦 竜次,巨人,4,0,0,0,1,10.80,2,0.00,3.1
大勢,巨人,4,0,0,2,2,0.00,4,0.00,3.1
竹丸 和幸,巨人,2,1,1,0,0,1.64,11,0.50,11
田中 瑛斗,巨人,4,1,0,1,2,0.00,1,1.00,4
田中 将大,巨人,1,1,0,0,0,3.18,4,1.00,5.2
田和 廉,巨人,3,0,0,0,0,0.00,3,0.00,2.2
中川 皓太,巨人,3,0,0,0,0,3.86,2,0.00,2.1
則本 昂大,巨人,1,0,1,0,0,2.57,5,0.00,7
ハワード,巨人,2,0,1,0,0,3.86,14,0.00,9.1
船迫 大雅,巨人,4,0,1,0,2,4.91,2,0.00,3.2
マルティネス,巨人,1,0,0,1,0,9.00,1,0.00,1
又木 鉄平,巨人,1,0,0,0,0,0.00,1,0.00,2
山城 京平,巨人,1,0,0,0,0,22.50,1,0.00,2
ルシアーノ,巨人,4,0,0,0,3,0.00,3,0.00,3.1
石黒 佑弥,阪神,1,0,0,0,0,0.00,4,0.00,2
伊藤 将司,阪神,1,0,0,0,0,11.57,1,0.00,2.1
伊原 陵人,阪神,1,1,0,0,0,1.80,3,1.00,5
岩崎 優,阪神,4,0,0,3,0,0.00,3,0.00,4
大竹 耕太郎,阪神,1,0,0,0,0,5.40,2,0.00,5
及川 雅貴,阪神,2,1,0,0,2,9.00,1,1.00,2
木下 里都,阪神,2,0,0,0,0,7.71,1,0.00,2.1
桐敷 拓馬,阪神,4,0,1,0,2,5.40,2,0.00,3.1
才木 浩人,阪神,1,1,0,0,0,1.50,5,1.00,6
髙橋 遥人,阪神,2,1,0,0,0,0.60,10,1.00,15
ドリス,阪神,4,0,0,1,3,2.25,3,0.00,4
早川 太貴,阪神,3,0,0,0,1,0.00,4,0.00,3.2
村上 頌樹,阪神,2,1,1,0,0,2.77,13,0.50,13
モレッタ,阪神,5,1,0,0,4,0.00,6,1.00,5
湯浅 京己,阪神,3,0,0,0,0,6.00,2,0.00,3
ルーカス,阪神,1,0,1,0,0,7.71,6,0.00,4.2
東 克樹,DeNA,2,1,1,0,0,2.77,16,0.50,13
石田 裕太郎,DeNA,2,0,2,0,0,3.95,14,0.00,13.2
伊勢 大夢,DeNA,3,0,0,0,1,3.86,2,0.00,2.1
入江 大生,DeNA,2,0,1,0,0,9.00,8,0.00,8
コックス,DeNA,1,1,0,0,0,1.50,7,1.00,6
坂本 裕哉,DeNA,4,0,0,0,0,4.50,2,0.00,4
竹田 祐,DeNA,1,0,1,0,0,6.75,3,0.00,4
デュプランティエ,DeNA,1,0,1,0,0,3.60,4,0.00,5
