選手,年度,球団,試合,打率,安打,本塁打,打点,盗塁,出塁率,長打率,OPS,打席数
赤星 優志,2025,巨人,22,0.233,7,0,2,0,0.303,0.233,0.536,30
秋広 優人,2025,巨人,5,0.143,1,0,0,0,0.25,0.143,0.393,7
浅野 翔吾,2025,巨人,29,0.187,14,2,8,1,0.244,0.32,0.564,75
荒巻 悠,2025,巨人,31,0.296,16,1,1,0,0.377,0.37,0.747,54
石川 達也,2025,巨人,41,0.286,2,0,1,0,0.286,0.286,0.572,7
石塚 裕惺,2025,巨人,9,0.111,1,0,0,0,0.111,0.111,0.222,9
泉口 友汰,2025,巨人,133,0.301,154,6,39,4,0.362,0.393,0.755,512
泉 圭輔,2025,巨人,10,0,0,0,0,0,0,0,0,0
井上 温大,2025,巨人,20,0.069,2,0,1,0,0.069,0.069,0.138,29
浦田 俊輔,2025,巨人,22,0.208,11,0,4,0,0.263,0.245,0.508,53
オコエ 瑠偉,2025,巨人,61,0.246,31,0,5,3,0.291,0.31,0.601,126
大城 卓三,2025,巨人,56,0.187,17,3,10,0,0.242,0.319,0.561,91
岡田 悠希,2025,巨人,11,0.167,3,0,2,0,0.211,0.222,0.433,18
岡本 和真,2025,巨人,69,0.327,82,15,49,1,0.416,0.598,1.014,251
乙坂 智,2025,巨人,5,0.2,1,0,0,0,0.2,0.4,0.6,5
甲斐 拓也,2025,巨人,68,0.26,58,4,20,3,0.327,0.332,0.659,223
門脇 誠,2025,巨人,81,0.223,35,0,4,6,0.274,0.274,0.548,157
キャベッジ,2025,巨人,123,0.267,115,17,51,5,0.331,0.45,0.781,431
菊地 大稀,2025,巨人,7,0,0,0,0,0,0,0,0,0
岸田 行倫,2025,巨人,87,0.293,78,8,39,0,0.355,0.417,0.772,266
グリフィン,2025,巨人,14,0.158,3,0,0,0,0.2,0.158,0.358,19
ケラー,2025,巨人,45,0,0,0,0,0,0,0,0,0
郡 拓也,2025,巨人,3,0,0,0,0,0,0,0,0,2
小林 誠司,2025,巨人,14,0.143,3,0,1,0,0.25,0.19,0.44,21
坂本 勇人,2025,巨人,62,0.208,32,3,22,0,0.272,0.331,0.603,154
佐々木 俊輔,2025,巨人,53,0.248,35,0,10,1,0.298,0.291,0.589,141
笹原 操希,2025,巨人,13,0.1,2,0,0,0,0.182,0.1,0.282,20
重信 慎之介,2025,巨人,10,0.333,1,0,0,1,0.333,0.333,0.666,3
鈴木 大和,2025,巨人,4,0,0,0,0,0,0,0,0,0
大勢,2025,巨人,62,0,0,0,0,0,0,0,0,0
高梨 雄平,2025,巨人,21,0,0,0,0,0,0,0,0,0
田中 瑛斗,2025,巨人,62,0,0,0,0,0,0,0,0,0
田中 将大,2025,巨人,10,0.154,2,0,0,0,0.154,0.231,0.385,13
長野 久義,2025,巨人,17,0.136,3,0,0,0,0.208,0.136,0.344,22
戸郷 翔征,2025,巨人,21,0.107,3,0,0,0,0.107,0.107,0.214,28
戸田 懐生,2025,巨人,2,0,0,0,0,0,0,0,0,0
中川 皓太,2025,巨人,63,0,0,0,0,0,0,0,0,0
中山 礼都,2025,巨人,103,0.265,76,7,32,1,0.319,0.383,0.702,287
西舘 勇陽,2025,巨人,15,0,0,0,0,0,0,0,0,8
バルドナード,2025,巨人,19,0,0,0,0,0,0,0,0,0
萩尾 匡也,2025,巨人,9,0.174,4,0,0,1,0.208,0.174,0.382,23
馬場 皐輔,2025,巨人,8,0,0,0,0,0,0,0,0,0
フルプ,2025,巨人,2,0,0,0,0,0,0,0,0,5
船迫 大雅,2025,巨人,57,0,0,0,0,0,0,0,0,0
ヘルナンデス,2025,巨人,52,0.211,32,2,8,0,0.298,0.303,0.601,152
平内 龍太,2025,巨人,12,0,0,0,0,0,0,0,0,1
堀田 賢慎,2025,巨人,8,0.4,2,0,0,0,0.4,0.4,0.8,5
マルティネス,2025,巨人,58,0,0,0,0,0,0,0,0,0
増田 大輝,2025,巨人,53,0.136,3,0,0,3,0.136,0.182,0.318,22
増田 陸,2025,巨人,87,0.231,61,5,21,0,0.272,0.326,0.598,264
又木 鉄平,2025,巨人,5,0,0,0,0,0,0,0,0,2
丸 佳浩,2025,巨人,90,0.267,87,6,26,5,0.345,0.399,0.744,326
三塚 琉生,2025,巨人,6,0,0,0,0,0,0,0,0,12
宮原 駿介,2025,巨人,14,0,0,0,0,0,0,0,0,0
森田 駿哉,2025,巨人,9,0.111,1,0,0,0,0.2,0.111,0.311,9
山﨑 伊織,2025,巨人,25,0.13,6,0,3,0,0.149,0.174,0.323,46
山瀬 慎之助,2025,巨人,1,0.25,1,0,2,0,0.25,0.25,0.5,4
山田 龍聖,2025,巨人,2,0,0,0,0,0,0,0,0,0
湯浅 大,2025,巨人,8,0,0,0,0,0,0,0,0,3
横川 凱,2025,巨人,25,0,0,0,0,0,0,0,0,11
吉川 尚輝,2025,巨人,107,0.277,112,3,32,8,0.349,0.351,0.7,404
リチャード,2025,巨人,77,0.211,49,11,39,1,0.269,0.384,0.653,232
若林 楽人,2025,巨人,86,0.241,52,3,16,9,0.304,0.347,0.651,216
石井 大智,2025,阪神,53,0,0,0,0,0,0,0,0,1
石黒 佑弥,2025,阪神,8,0,0,0,0,0,0,0,0,0
井坪 陽生,2025,阪神,6,0.167,3,0,0,0,0.167,0.167,0.334,18
伊藤 将司,2025,阪神,14,0.074,2,0,1,0,0.074,0.074,0.148,27
糸原 健斗,2025,阪神,61,0.203,14,0,4,1,0.253,0.203,0.456,69
井上 広大,2025,阪神,1,0,0,0,0,1,0,0,0,3
伊原 陵人,2025,阪神,28,0.16,4,0,0,0,0.16,0.16,0.32,25
茨木 秀俊,2025,阪神,2,0,0,0,0,0,0,0,0,0
岩貞 祐太,2025,阪神,29,0,0,0,0,0,0,0,0,0
岩崎 優,2025,阪神,53,0,0,0,0,0,0,0,0,0
植田 海,2025,阪神,42,0.059,1,0,1,4,0.158,0.118,0.276,17
梅野 隆太郎,2025,阪神,52,0.22,26,0,2,2,0.27,0.254,0.524,118
漆原 大晟,2025,阪神,11,0,0,0,0,0,0,0,0,0
大竹 耕太郎,2025,阪神,16,0.167,5,0,2,0,0.194,0.167,0.361,30
大山 悠輔,2025,阪神,141,0.264,133,13,75,6,0.363,0.396,0.759,503
岡留 英貴,2025,阪神,10,0,0,0,0,0,0,0,0,0
小野寺 暖,2025,阪神,19,0.241,7,0,0,0,0.267,0.276,0.543,29
小幡 竜平,2025,阪神,89,0.223,59,5,17,6,0.272,0.309,0.581,265
及川 雅貴,2025,阪神,66,0,0,0,0,0,0,0,0,0
木浪 聖也,2025,阪神,72,0.193,35,0,15,1,0.255,0.26,0.515,181
木下 里都,2025,阪神,11,0,0,0,0,0,0,0,0,0
桐敷 拓馬,2025,阪神,43,0,0,0,0,0,0,0,0,0
楠本 泰史,2025,阪神,16,0.133,2,0,1,0,0.188,0.2,0.388,15
工藤 泰成,2025,阪神,18,0,0,0,0,0,0,0,0,0
熊谷 敬宥,2025,阪神,85,0.224,35,1,18,6,0.253,0.295,0.548,156
ゲラ,2025,阪神,6,0,0,0,0,0,0,0,0,0
才木 浩人,2025,阪神,24,0.044,2,0,1,0,0.085,0.044,0.129,45
榮枝 裕貴,2025,阪神,8,0.222,2,0,1,0,0.222,0.222,0.444,9
坂本 誠志郎,2025,阪神,117,0.247,84,2,27,2,0.357,0.326,0.683,340
佐藤 輝明,2025,阪神,139,0.277,149,40,102,10,0.345,0.579,0.924,537
椎葉 剛,2025,阪神,3,0,0,0,0,0,0,0,0,0
島田 海吏,2025,阪神,28,0.129,4,0,0,1,0.156,0.129,0.285,31
島本 浩也,2025,阪神,16,0,0,0,0,0,0,0,0,0
髙寺 望夢,2025,阪神,67,0.231,31,2,7,4,0.325,0.306,0.631,134
髙橋 遥人,2025,阪神,8,0.077,1,0,0,0,0.077,0.077,0.154,13
近本 光司,2025,阪神,140,0.279,160,3,34,32,0.348,0.353,0.701,573
デュプランティエ,2025,阪神,15,0.038,1,0,0,0,0.038,0.038,0.076,26
ドリス,2025,阪神,20,0,0,0,0,0,0,0,0,0
富田 蓮,2025,阪神,9,0,0,0,0,0,0,0,0,5
豊田 寛,2025,阪神,33,0.232,13,0,4,0,0.279,0.304,0.583,56
中川 勇斗,2025,阪神,25,0.268,15,2,2,0,0.293,0.393,0.686,56
中野 拓夢,2025,阪神,143,0.282,150,0,30,19,0.339,0.328,0.667,531
長坂 拳弥,2025,阪神,1,0,0,0,0,0,0,0,0,1
西 勇輝,2025,阪神,1,0,0,0,0,0,0,0,0,1
