選手,年度,球団,試合,勝利,敗戦,セーブ,ＨＰ,奪三振,勝率,投球回,防御率
赤星 優志,2025,巨人,22,6,9,0,0,88,0.4,121,2.68
石川 達也,2025,巨人,41,5,4,0,7,46,0.556,59,2.14
泉 圭輔,2025,巨人,10,0,0,0,0,12,0,12.1,5.84
井上 温大,2025,巨人,20,4,8,0,0,100,0.333,107,3.7
菊地 大稀,2025,巨人,7,1,1,0,1,16,0.5,10,1.8
グリフィン,2025,巨人,14,6,1,0,0,77,0.857,78,1.62
ケラー,2025,巨人,45,1,1,0,7,49,0.5,46.1,3.11
大勢,2025,巨人,62,8,4,1,54,60,0.667,59.2,2.11
高梨 雄平,2025,巨人,21,0,1,0,5,16,0,15,3.6
田中 瑛斗,2025,巨人,62,1,3,0,37,38,0.25,50.2,2.13
田中 将大,2025,巨人,10,3,4,0,0,29,0.429,45,5
戸郷 翔征,2025,巨人,21,8,9,0,1,87,0.471,111,4.14
戸田 懐生,2025,巨人,2,0,1,0,0,0,0,2.2,3.38
中川 皓太,2025,巨人,63,2,4,0,38,57,0.333,52.1,2.24
西舘 勇陽,2025,巨人,15,2,3,0,1,45,0.4,53.1,4.22
バルドナード,2025,巨人,19,1,0,0,7,13,1,13.2,3.29
馬場 皐輔,2025,巨人,8,0,0,0,0,5,0,7.1,3.68
船迫 大雅,2025,巨人,57,2,3,0,19,43,0.4,48,2.81
平内 龍太,2025,巨人,12,1,1,0,2,9,0.5,15.2,5.74
堀田 賢慎,2025,巨人,8,0,1,0,0,13,0,22.1,5.24
マルティネス,2025,巨人,58,3,2,46,6,65,0.6,56.2,1.11
又木 鉄平,2025,巨人,5,0,1,0,0,8,0,13.1,4.73
宮原 駿介,2025,巨人,14,0,0,0,2,14,0,14.2,3.68
森田 駿哉,2025,巨人,9,3,4,0,0,25,0.429,37.2,3.58
山﨑 伊織,2025,巨人,25,11,4,0,0,131,0.733,156.1,2.07
山田 龍聖,2025,巨人,2,0,0,0,0,1,0,4,4.5
横川 凱,2025,巨人,25,2,0,0,1,41,1,66,2.59
石井 大智,2025,阪神,53,1,0,9,37,42,1,53,0.17
石黒 佑弥,2025,阪神,8,0,0,0,1,7,0,8,4.5
伊藤 将司,2025,阪神,14,4,3,0,0,49,0.571,88,3.07
伊原 陵人,2025,阪神,28,5,7,0,1,81,0.417,110,2.29
茨木 秀俊,2025,阪神,2,0,0,0,0,1,0,2.2,0
岩貞 祐太,2025,阪神,29,3,1,0,7,22,0.75,29.2,2.12
岩崎 優,2025,阪神,53,1,3,31,9,40,0.25,51.1,2.1
漆原 大晟,2025,阪神,11,0,0,0,2,9,0,11.2,0
大竹 耕太郎,2025,阪神,16,9,4,0,0,48,0.692,98,2.85
岡留 英貴,2025,阪神,10,1,0,0,4,2,1,9.1,1.93
及川 雅貴,2025,阪神,66,6,3,1,52,66,0.667,62,0.87
木下 里都,2025,阪神,11,0,0,0,1,12,0,13.2,3.29
桐敷 拓馬,2025,阪神,43,2,1,1,15,35,0.667,38,2.84
工藤 泰成,2025,阪神,18,0,2,0,1,16,0,16.1,3.31
ゲラ,2025,阪神,6,0,1,0,1,4,0,4.2,13.5
才木 浩人,2025,阪神,24,12,6,0,0,122,0.667,157,1.55
椎葉 剛,2025,阪神,3,0,0,0,0,1,0,3,0
島本 浩也,2025,阪神,16,2,1,0,4,6,0.667,14.1,1.88
髙橋 遥人,2025,阪神,8,3,1,0,0,48,0.75,43.1,2.28
デュプランティエ,2025,阪神,15,6,3,0,0,113,0.667,90.2,1.39
ドリス,2025,阪神,20,2,2,0,7,16,0.5,18.2,1.93
富田 蓮,2025,阪神,9,1,0,0,0,10,1,23.1,3.09
西 勇輝,2025,阪神,1,0,1,0,0,2,0,4.2,5.79
ネルソン,2025,阪神,23,2,1,0,8,25,0.667,32.2,1.93
ハートウィグ,2025,阪神,16,2,0,0,7,8,1,12.1,3.65
畠 世周,2025,阪神,12,0,0,0,4,3,0,12.1,0
早川 太貴,2025,阪神,3,2,0,0,0,5,1,11.1,0
ビーズリー,2025,阪神,8,1,3,0,1,25,0.25,29.1,4.6
村上 頌樹,2025,阪神,26,14,4,0,0,144,0.778,175.1,2.1
門別 啓人,2025,阪神,12,2,3,0,0,28,0.4,44.2,4.43
湯浅 京己,2025,阪神,40,4,4,0,26,27,0.5,35.2,2.52
東 克樹,2025,DeNA,24,14,8,0,0,123,0.636,160.1,2.19
石田 裕太郎,2025,DeNA,21,3,5,0,1,94,0.375,90.2,3.57
伊勢 大夢,2025,DeNA,55,0,5,13,32,58,0,53,2.89
入江 大生,2025,DeNA,50,3,3,22,9,45,0.5,45.2,3.15
岩田 将貴,2025,DeNA,3,0,0,0,0,0,0,1,18
ウィック,2025,DeNA,40,4,1,5,25,49,0.8,42.2,0.84
大貫 晋一,2025,DeNA,11,2,6,0,0,44,0.25,67,3.09
ケイ,2025,DeNA,24,9,6,0,0,130,0.6,155,1.74
小園 健太,2025,DeNA,1,1,0,0,0,4,1,5,5.4
坂本 裕哉,2025,DeNA,35,4,1,0,8,33,0.8,37,3.16
佐々木 千隼,2025,DeNA,20,2,1,0,6,20,0.667,21.2,4.15
ジャクソン,2025,DeNA,25,10,7,0,0,109,0.588,150.2,2.33
篠木 健太郎,2025,DeNA,3,0,1,0,1,3,0,5.1,10.13
平良 拳太郎,2025,DeNA,12,4,3,0,1,46,0.571,55,2.95
竹田 祐,2025,DeNA,6,4,1,0,0,27,0.8,37.1,1.69
武田 陸玖,2025,DeNA,1,1,0,0,1,0,1,1,9
中川 虎大,2025,DeNA,30,0,1,1,3,25,0,25.2,3.16
バウアー,2025,DeNA,21,4,10,0,0,119,0.286,133.2,4.51
橋本 達弥,2025,DeNA,1,0,0,0,0,0,0,1,18
浜地 真澄,2025,DeNA,3,0,0,0,0,5,0,3,6
颯,2025,DeNA,27,0,1,0,2,16,0,23.1,1.93
藤浪 晋太郎,2025,DeNA,6,1,0,0,0,19,1,22,4.09
堀岡 隼人,2025,DeNA,13,0,0,0,0,19,0,13,3.46
マルセリーノ,2025,DeNA,2,0,0,0,0,3,0,1.1,13.5
松本 凌人,2025,DeNA,4,0,0,0,0,1,0,3.2,7.36
三嶋 一輝,2025,DeNA,6,0,0,0,0,4,0,6.2,10.8
宮城 滝太,2025,DeNA,50,4,1,0,18,44,0.8,51.2,2.09
森 唯斗,2025,DeNA,2,1,0,0,0,4,1,6,3
森原 康平,2025,DeNA,30,0,2,0,11,25,0,28,2.57
山﨑 康晃,2025,DeNA,17,0,3,1,1,12,0,15,4.2
吉野 光樹,2025,DeNA,2,0,0,0,0,8,0,7.2,4.7
若松 尚輝,2025,DeNA,7,0,0,0,0,3,0,8,7.88
アドゥワ 誠,2025,広島,4,0,3,0,0,11,0,19,5.21
遠藤 淳志,2025,広島,7,1,2,0,0,15,0.333,14,5.79
大瀬良 大地,2025,広島,23,7,9,0,0,88,0.438,134.2,3.48
大道 温貴,2025,広島,1,0,0,0,0,2,0,1,0
岡本 駿,2025,広島,41,1,1,0,2,37,0.5,40.2,2.88
菊地 ハルン,2025,広島,4,0,0,0,0,1,0,4,2.25
栗林 良吏,2025,広島,55,1,1,10,24,54,0.5,52.1,2.24
斉藤 優汰,2025,広島,2,0,1,0,0,7,0,5.2,7.94
