選手名,球団,年度,ポジション,対左打席数または打数,対左安打数,対左打数,対右打席数または打数,対右安打数,対右打数
オースティン,DeNA,2021,外野手,112,27,95,327,86,278
ソト,DeNA,2021,内野手,121,27,108,329,69,302
伊藤 光,DeNA,2021,捕手,50,7,38,142,27,122
伊藤 裕季也,DeNA,2021,内野手,2,0,2,,,
益子 京右,DeNA,2021,捕手,1,0,1,4,1,4
乙坂 智,DeNA,2021,外野手,3,0,2,17,4,17
蝦名 達夫,DeNA,2021,外野手,13,3,11,8,0,7
関根 大気,DeNA,2021,外野手,20,5,15,119,23,109
宮本 秀明,DeNA,2021,外野手,2,0,2,9,2,8
桑原 将志,DeNA,2021,外野手,172,55,152,398,106,367
戸柱 恭孝,DeNA,2021,捕手,33,9,31,101,19,96
佐野 恵太,DeNA,2021,外野手,183,58,170,431,107,375
細川 成也,DeNA,2021,外野手,29,6,26,15,0,13
山本 祐大,DeNA,2021,捕手,27,3,24,84,10,75
柴田 竜拓,DeNA,2021,内野手,39,5,28,226,47,194
森 敬斗,DeNA,2021,内野手,17,1,16,96,19,87
神里 和毅,DeNA,2021,外野手,22,6,21,95,15,89
倉本 寿彦,DeNA,2021,内野手,14,2,14,60,13,58
大和,DeNA,2021,内野手,97,19,91,194,49,179
中井 大介,DeNA,2021,内野手,10,1,10,5,1,5
楠本 泰史,DeNA,2021,外野手,28,6,25,98,23,89
牧 秀悟,DeNA,2021,内野手,139,45,130,384,108,357
嶺井 博希,DeNA,2021,捕手,39,8,35,41,6,39
髙城 俊人,DeNA,2021,捕手,1,0,0,6,1,4
T-岡田,オリックス,2021,外野手,71,12,59,332,74,298
ジョーンズ,オリックス,2021,外野手,62,14,48,117,22,106
モヤ,オリックス,2021,外野手,83,21,77,290,60,277
ラベロ,オリックス,2021,内野手,,,,7,3,7
安達 了一,オリックス,2021,内野手,103,28,92,279,55,229
宜保 翔,オリックス,2021,内野手,2,0,1,26,4,24
吉田 正尚,オリックス,2021,外野手,132,38,110,317,94,279
後藤 駿太,オリックス,2021,外野手,2,0,2,15,2,14
紅林 弘太郎,オリックス,2021,内野手,94,21,92,379,81,356
佐野 如一,オリックス,2021,外野手,,,,9,0,8
佐野 皓大,オリックス,2021,外野手,51,8,48,36,4,34
山足 達也,オリックス,2021,内野手,10,1,8,29,8,25
若月 健矢,オリックス,2021,捕手,34,7,28,106,18,89
宗 佑磨,オリックス,2021,外野手,120,30,106,422,101,375
勝俣 翔貴,オリックス,2021,内野手,,,,1,0,1
小田 裕也,オリックス,2021,外野手,2,0,1,16,1,14
松井 雅人,オリックス,2021,捕手,,,,7,0,7
杉本 裕太郎,オリックス,2021,外野手,125,33,106,415,111,372
西村 凌,オリックス,2021,外野手,9,1,8,36,8,34
西野 真弘,オリックス,2021,内野手,5,0,5,37,6,36
太田 椋,オリックス,2021,内野手,43,9,43,116,17,108
大下 誠一郎,オリックス,2021,内野手,7,1,7,20,3,18
大城 滉二,オリックス,2021,内野手,22,5,18,49,6,43
中川 圭太,オリックス,2021,内野手,60,7,57,109,26,99
頓宮 裕真,オリックス,2021,捕手,34,6,29,91,20,83
伏見 寅威,オリックス,2021,捕手,55,7,48,207,45,190
福田 周平,オリックス,2021,内野手,106,25,94,365,87,314
来田 涼斗,オリックス,2021,外野手,4,2,4,71,13,67
アルバレス,ソフトバンク,2021,外野手,12,0,10,28,6,27
グラシアル,ソフトバンク,2021,内野手,42,8,35,108,34,103
デスパイネ,ソフトバンク,2021,外野手,79,13,63,229,56,198
リチャード,ソフトバンク,2021,内野手,29,4,26,87,15,79
海野 隆司,ソフトバンク,2021,捕手,,,,5,1,4
