所属正式名,選手名,主ポジション,試合,打席,打数,打率,得点,打点,安打,二塁打,三塁打,本塁打,盗塁,四球,三振,犠打,犠飛,出塁率,長打率,OPS
読売ジャイアンツ,バルドナード,投手,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
読売ジャイアンツ,ルシアーノ,投手,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
読売ジャイアンツ,マルティネス,投手,361,9,9,0.111,0,0,1,0,0,0,0,0,5,0,0,0.111,0.111,0.222
読売ジャイアンツ,ハワード,投手,9,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
読売ジャイアンツ,キャベッジ,外野手,123,476,431,0.267,50,51,115,26,1,17,5,37,144,1,2,0.331,0.45,0.781
読売ジャイアンツ,リチャード,内野手,177,558,514,0.183,38,66,94,18,0,21,1,28,206,0,5,0.238,0.34,0.579
読売ジャイアンツ,井上 温大,投手,56,76,66,0.136,4,3,9,0,0,0,0,1,31,9,0,0.149,0.136,0.286
読売ジャイアンツ,宇都宮 葵星,内野手,6,2,2,0.5,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,1
読売ジャイアンツ,浦田 俊輔,内野手,22,60,53,0.208,4,4,11,2,0,0,0,3,7,3,0,0.263,0.245,0.508
読売ジャイアンツ,横川 凱,投手,62,54,42,0.143,1,2,6,0,0,0,0,0,16,12,0,0.143,0.143,0.286
読売ジャイアンツ,岡田 悠希,外野手,74,102,94,0.149,7,4,14,2,0,1,0,7,33,1,0,0.208,0.202,0.41
読売ジャイアンツ,丸 佳浩,外野手,1962,8184,6965,0.277,1068,944,1929,353,37,289,188,1107,1508,32,45,0.377,0.463,0.839
読売ジャイアンツ,岸田 行倫,捕手,311,786,710,0.262,56,76,186,24,2,15,2,48,131,17,4,0.313,0.365,0.678
読売ジャイアンツ,喜多 隆介,捕手,15,10,10,0.1,3,2,1,0,0,0,0,0,1,0,0,0.1,0.1,0.2
読売ジャイアンツ,吉川 尚輝,内野手,842,3233,2913,0.274,350,234,798,125,23,39,71,209,418,57,17,0.329,0.373,0.702
読売ジャイアンツ,宮原 駿介,投手,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
読売ジャイアンツ,京本 眞,投手,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
読売ジャイアンツ,郡 拓也,捕手,86,173,157,0.159,10,10,25,5,0,2,3,11,45,3,0,0.224,0.229,0.453
読売ジャイアンツ,戸郷 翔征,投手,143,295,244,0.082,7,11,20,1,0,0,0,6,128,44,1,0.104,0.086,0.19
読売ジャイアンツ,甲斐 拓也,捕手,1091,3387,2854,0.226,297,310,645,121,6,66,30,313,836,188,15,0.305,0.342,0.647
読売ジャイアンツ,荒巻 悠,内野手,31,61,54,0.296,1,1,16,1,0,1,0,7,13,0,0,0.377,0.37,0.747
読売ジャイアンツ,高梨 雄平,投手,449,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
