所属正式名,選手名,主ポジション,登板,先発,完投,完封勝,無四球,勝利,敗北,セーブ,ホールド,HP,投球回,防御率,WHIP,勝率,打者,安打,被打率,失点,自責点,被本塁打,奪三振,与四球,故意四,与死球,暴投,ボーク
読売ジャイアンツ,バルドナード,投手,98,0,0,0,0,5,4,9,39,44,86.2,2.39,1.281,0.556,365,63,0.1726027397,25,23,3,97,48,1,0,3,0
読売ジャイアンツ,ルシアーノ,投手,11,0,0,0,0,0,1,0,6,6,11,3.27,1.182,0,44,7,0.1590909091,4,4,2,8,6,0,0,0,0
読売ジャイアンツ,マルティネス,投手,372,4,0,0,0,17,21,222,45,61,377.2,1.64,0.871,0.447,1453,246,0.1693048864,73,69,16,429,83,10,11,5,2
読売ジャイアンツ,ハワード,投手,11,11,0,0,0,5,2,0,0,0,58,2.48,1.19,0.714,239,51,0.2133891213,18,16,1,50,18,1,2,0,1
読売ジャイアンツ,井上 温大,投手,56,43,0,0,0,13,15,0,2,3,244.1,3.9,1.256,0.464,1032,251,0.2432170543,114,106,26,237,56,2,6,3,0
読売ジャイアンツ,横川 凱,投手,62,31,0,0,0,9,11,0,1,5,195.2,3.13,1.221,0.45,802,185,0.2306733167,72,68,18,107,54,1,7,2,1
読売ジャイアンツ,宮原 駿介,投手,15,0,0,0,0,0,0,0,2,2,15.2,3.45,1.149,0,63,13,0.2063492063,6,6,2,14,5,1,0,0,0
読売ジャイアンツ,京本 眞,投手,4,0,0,0,0,0,0,0,0,0,5,3.6,1.2,0,20,4,0.2,2,2,0,3,2,1,1,0,0
読売ジャイアンツ,戸郷 翔征,投手,143,140,12,6,3,63,44,0,0,3,900.2,2.92,1.161,0.589,3697,763,0.2063835542,308,292,77,793,283,7,33,14,0
読売ジャイアンツ,高梨 雄平,投手,449,0,0,0,0,15,13,4,163,178,339,2.52,1.218,0.536,1452,249,0.1714876033,118,95,16,364,164,21,34,5,3
読売ジャイアンツ,山田 龍聖,投手,2,0,0,0,0,0,0,0,0,0,4,4.5,1,0,15,3,0.2,2,2,1,1,1,0,1,0,0
読売ジャイアンツ,松浦 慶斗,投手,6,0,0,0,0,0,1,0,1,1,5,5.4,2.6,0,28,6,0.2142857143,5,3,0,5,7,0,0,0,0
読売ジャイアンツ,森田 駿哉,投手,9,7,0,0,0,3,4,0,0,0,37.2,3.58,1.301,0.429,162,35,0.2160493827,19,15,4,25,14,2,1,1,0
読売ジャイアンツ,西舘 勇陽,投手,43,8,0,0,0,3,6,1,21,22,84,4.07,1.25,0.333,354,80,0.2259887006,40,38,8,70,25,1,2,1,0
読売ジャイアンツ,石川 達也,投手,87,6,0,0,0,5,4,0,8,12,110.1,2.37,1.187,0.556,457,92,0.2013129103,33,29,6,91,39,3,5,4,0
読売ジャイアンツ,赤星 優志,投手,86,56,1,1,1,17,26,0,6,6,343,3.23,1.169,0.395,1407,327,0.2324093817,147,123,33,247,74,5,15,1,0
読売ジャイアンツ,泉 圭輔,投手,2,0,0,0,0,0,0,0,0,0,2,0,1.5,0,8,2,0.25,0,0,0,1,1,0,0,0,0
読売ジャイアンツ,船迫 大雅,投手,157,0,0,0,0,9,5,0,53,62,126,2.71,0.992,0.643,500,88,0.176,40,38,16,107,37,10,10,2,0
読売ジャイアンツ,増田 大輝,内野手,1,0,0,0,0,0,0,0,0,0,0.2,0,1.5,0,3,0,0,0,0,0,0,1,0,0,0,0
読売ジャイアンツ,則本 昂大,投手,373,259,32,12,7,120,99,48,14,22,1838,3.12,1.177,0.548,7613,1685,0.2213319322,724,637,143,1804,479,10,49,50,2
読売ジャイアンツ,代木 大和,投手,13,0,0,0,0,0,0,0,0,0,16.2,5.4,1.74,0,76,23,0.3026315789,10,10,2,15,6,0,2,0,0
読売ジャイアンツ,大勢,投手,189,0,0,0,0,13,9,81,60,73,183.2,2.16,1.007,0.591,742,139,0.1873315364,48,44,15,208,46,6,8,6,0
