順位,チーム,試合,勝利,敗北,引分,勝率,差,ホーム,ロード,対ヤ,対神,対巨,対デ,対広,対中,交流戦
1,東京ヤクルトスワローズ,41,25,16,0,0.61,--,12-6,13-10,***,3-5,6-3,7-1,6-2,3-5,--
2,阪神タイガース,40,23,16,1,0.59,1,"12-8
(1)",11-8,5-3,***,4-4,3-5,"4-2
(1)",7-2,--
3,読売ジャイアンツ,40,22,18,0,0.55,2.5,12-9,10-9,3-6,4-4,***,6-2,4-3,5-3,--
4,横浜DeNAベイスターズ,40,19,19,2,0.5,4.5,"9-7
(2)",10-12,1-7,5-3,2-6,***,"6-1
(1)","5-2
(1)",--
5,広島東洋カープ,37,13,22,2,0.371,9,8-11,"5-11
(2)",2-6,"2-4
(1)",3-4,"1-6
(1)",***,5-2,--
6,中日ドラゴンズ,40,14,25,1,0.359,10,11-11,"3-14
(1)",5-3,2-7,3-5,"2-5
(1)",2-5,***,--
,,,,,,,,,,,,,,,,
順位,チーム,試合,勝利,敗北,引分,勝率,差,ホーム,ロード,対オ,対西,対日,対ソ,対楽,対ロ,交流戦
1,オリックス・バファローズ,40,23,17,0,0.575,--,16-4,7-13,***,5-1,5-7,3-2,3-4,7-3,--
2,埼玉西武ライオンズ,42,23,18,1,0.561,0.5,"11-9
(1)",12-9,1-5,***,4-4,8-3,"5-2
(1)",5-4,--
3,北海道日本ハムファイターズ,43,21,22,0,0.488,3.5,11-8,10-14,7-5,4-4,***,0-5,5-4,5-4,--
4,福岡ソフトバンクホークス,39,19,20,0,0.487,3.5,10-11,9-9,2-3,3-8,5-0,***,5-6,4-3,--
5,東北楽天ゴールデンイーグルス,40,18,21,1,0.462,4.5,11-9,"7-12
(1)",4-3,"2-5
(1)",4-5,6-5,***,2-3,--
6,千葉ロッテマリーンズ,40,17,23,0,0.425,6,12-9,5-14,3-7,4-5,4-5,3-4,3-2,***,--
