Season,Date,Team,Bat1,Bat2,Bat3,Bat4,Bat5,Bat6,Bat7,Bat8,Bat9,OwnSP(optional)
2020,2020-06-18,日本ハム,西川,大田,近藤,中田,王,渡邉,石井,野村,宇佐見,有原
2020,2020-06-19,日本ハム,西川,大田,近藤,中田,王,渡邉,石井,野村,清水,加藤
2020,2020-06-20,日本ハム,西川,大田,近藤,中田,王,渡邉,石井,野村,清水,杉浦
2020,2020-06-22,日本ハム,西川,大田,近藤,中田,渡邉,王,横尾,鶴岡,中島卓也,マルティネス
2020,2020-06-23,日本ハム,西川,大田,近藤,中田,渡邉,清宮,横尾,石井,清水,河野
2020,2020-06-24,日本ハム,西川,大田,近藤,中田,渡邉,横尾,清水,野村,石井,バーヘイゲン
2020,2020-06-25,日本ハム,西川,大田,近藤,中田,渡邉,王,野村,宇佐見,中島卓也,有原
2020,2020-06-26,日本ハム,西川,大田,近藤,中田,渡邉,杉谷,清水,野村,石井,加藤
2020,2020-06-27,日本ハム,西川,大田,近藤,中田,渡邉,清宮,野村,石井,清水,杉浦
2020,2020-06-29,日本ハム,西川,渡邉,近藤,中田,大田,清宮,野村,中島卓也,清水,上沢
2020,2020-06-30,日本ハム,西川,渡邉,近藤,中田,大田,清宮,野村,宇佐見,石井,マルティネス
2020,2020-07-01,日本ハム,西川,大田,近藤,中田,渡邉,清宮,野村,清水,中島卓也,バーヘイゲン
2020,2020-07-02,日本ハム,西川,大田,近藤,中田,渡邉,清宮,野村,宇佐見,中島卓也,有原
2020,2020-07-03,日本ハム,西川,大田,近藤,中田,渡邉,横尾,石井,清水,松本,加藤
2020,2020-07-04,日本ハム,西川,中島卓也,近藤,中田,渡邉,大田,清宮,野村,清水,河野
2020,2020-07-06,日本ハム,西川,大田,近藤,中田,渡邉,ビヤヌエバ,野村,石井,清水,杉浦
2020,2020-07-07,日本ハム,西川,大田,近藤,中田,渡邉,清宮,ビヤヌエバ,宇佐見,中島卓也,マルティネス
2020,2020-07-08,日本ハム,西川,大田,近藤,中田,渡邉,ビヤヌエバ,高濱,清水,中島卓也,バーヘイゲン
2020,2020-07-09,日本ハム,西川,大田,近藤,中田,渡邉,清宮,ビヤヌエバ,石川亮,中島卓也,有原
2020,2020-07-10,日本ハム,西川,松本,近藤,中田,渡邉,大田,横尾,石井,宇佐見,金子
2020,2020-07-11,日本ハム,西川,王,近藤,中田,清宮,ビヤヌエバ,高濱,宇佐見,石井,河野
2020,2020-07-13,日本ハム,西川,大田,近藤,中田,ビヤヌエバ,渡邉,清宮,清水,中島卓也,上沢
2020,2020-07-14,日本ハム,西川,松本,近藤,中田,大田,渡邉,ビヤヌエバ,宇佐見,中島卓也,マルティネス
2020,2020-07-15,日本ハム,西川,大田,近藤,中田,ビヤヌエバ,清宮,渡邉,宇佐見,中島卓也,バーヘイゲン
2020,2020-07-16,日本ハム,西川,大田,近藤,中田,ビヤヌエバ,清宮,渡邉,石川亮,中島卓也,有原
2020,2020-07-17,日本ハム,西川,王,近藤,中田,横尾,清宮,渡邉,石井,石川亮,加藤
2020,2020-07-18,日本ハム,西川,杉谷,近藤,中田,ビヤヌエバ,清宮,渡邉,宇佐見,中島卓也,河野
2020,2020-07-20,日本ハム,西川,大田,近藤,中田,ビヤヌエバ,清宮,渡邉,宇佐見,中島卓也,杉浦
2020,2020-07-21,日本ハム,西川,杉谷,近藤,中田,大田,渡邉,ビヤヌエバ,石川亮,中島卓也,マルティネス
2020,2020-07-22,日本ハム,西川,杉谷,近藤,中田,大田,ビヤヌエバ,高濱,宇佐見,石井,バーヘイゲン
2020,2020-07-23,日本ハム,西川,大田,近藤,中田,ビヤヌエバ,渡邉,清宮,石川亮,中島卓也,有原
2020,2020-07-24,日本ハム,西川,杉谷,近藤,中田,大田,横尾,清宮,宇佐見,中島卓也,村田
2020,2020-07-25,日本ハム,西川,杉谷,近藤,中田,大田,清宮,ビヤヌエバ,宇佐見,中島卓也,河野
2020,2020-07-27,日本ハム,西川,杉谷,近藤,中田,大田,高濱,ビヤヌエバ,宇佐見,石井,上沢
2020,2020-07-28,日本ハム,杉谷,中島卓也,近藤,中田,大田,渡邉,ビヤヌエバ,清宮,石川亮,マルティネス
2020,2020-07-29,日本ハム,西川,杉谷,近藤,中田,大田,渡邉,横尾,宇佐見,石井,杉浦
2020,2020-07-30,日本ハム,西川,杉谷,近藤,中田,大田,渡邉,横尾,宇佐見,中島卓也,有原
2020,2020-07-31,日本ハム,松本,高濱,近藤,中田,大田,渡邉,横尾,宇佐見,谷内,バーヘイゲン
2020,2020-08-03,日本ハム,西川,中島卓也,近藤,中田,大田,渡邉,横尾,清宮,宇佐見,上沢
2020,2020-08-04,日本ハム,西川,中島卓也,近藤,中田,大田,渡邉,横尾,清宮,石川亮,マルティネス
2020,2020-08-05,日本ハム,西川,渡邉,近藤,中田,大田,横尾,清宮,宇佐見,石井,河野
2020,2020-08-06,日本ハム,西川,杉谷,近藤,中田,大田,横尾,渡邉,宇佐見,石井,杉浦
2020,2020-08-07,日本ハム,西川,杉谷,近藤,中田,大田,横尾,渡邉,宇佐見,石井,有原
2020,2020-08-08,日本ハム,西川,渡邉,近藤,中田,大田,横尾,清宮,宇佐見,石井,バーヘイゲン
2020,2020-08-10,日本ハム,西川,渡邉,近藤,中田,大田,横尾,清宮,宇佐見,石井,上沢
2020,2020-08-11,日本ハム,西川,松本,近藤,中田,大田,渡邉,横尾,宇佐見,石井,加藤
2020,2020-08-12,日本ハム,淺間,杉谷,近藤,中田,渡邉,横尾,清宮,宇佐見,中島卓也,河野
2020,2020-08-13,日本ハム,西川,松本,近藤,中田,大田,渡邉,横尾,石井,石川亮,北浦
2020,2020-08-14,日本ハム,西川,渡邉,近藤,中田,大田,横尾,清宮,宇佐見,中島卓也,有原
2020,2020-08-15,日本ハム,西川,松本,近藤,中田,大田,渡邉,横尾,宇佐見,石井,バーヘイゲン
2020,2020-08-17,日本ハム,西川,松本,近藤,中田,大田,横尾,渡邉,清水,中島卓也,上沢
2020,2020-08-18,日本ハム,西川,渡邉,近藤,中田,大田,王,横尾,宇佐見,中島卓也,杉浦
2020,2020-08-19,日本ハム,西川,松本,近藤,中田,大田,渡邉,横尾,清水,石井,マルティネス
2020,2020-08-20,日本ハム,西川,渡邉,近藤,中田,大田,横尾,清宮,宇佐見,石井,加藤
2020,2020-08-21,日本ハム,杉谷,松本,西川,中田,渡邉,大田,横尾,宇佐見,石井,有原
2020,2020-08-22,日本ハム,王,松本,西川,中田,渡邉,清宮,石井,清水,中島卓也,バーヘイゲン
2020,2020-08-24,日本ハム,大田,松本,西川,中田,渡邉,清宮,ビヤヌエバ,清水,中島卓也,上沢
2020,2020-08-25,日本ハム,杉谷,松本,西川,中田,渡邉,大田,ビヤヌエバ,清水,中島卓也,杉浦
2020,2020-08-26,日本ハム,大田,松本,西川,中田,渡邉,清宮,ビヤヌエバ,宇佐見,石井,河野
2020,2020-08-27,日本ハム,大田,松本,西川,中田,渡邉,ビヤヌエバ,清宮,清水,中島卓也,金子
2020,2020-08-28,日本ハム,大田,松本,西川,中田,渡邉,ビヤヌエバ,杉谷,宇佐見,石井,有原
2020,2020-08-29,日本ハム,大田,松本,西川,中田,近藤,渡邉,平沼,清水,中島卓也,バーヘイゲン
2020,2020-08-31,日本ハム,大田,松本,西川,中田,近藤,渡邉,ビヤヌエバ,清水,中島卓也,上沢
2020,2020-09-01,日本ハム,大田,近藤,西川,中田,渡邉,ビヤヌエバ,平沼,清宮,宇佐見,上原
2020,2020-09-02,日本ハム,大田,杉谷,西川,中田,近藤,渡邉,ビヤヌエバ,平沼,清水,加藤
2020,2020-09-03,日本ハム,大田,近藤,西川,中田,渡邉,ビヤヌエバ,清宮,宇佐見,平沼,杉浦
2020,2020-09-04,日本ハム,大田,松本,西川,中田,近藤,渡邉,ビヤヌエバ,宇佐見,中島卓也,有原
2020,2020-09-05,日本ハム,淺間,杉谷,西川,中田,近藤,渡邉,平沼,ビヤヌエバ,清水,バーヘイゲン
2020,2020-09-07,日本ハム,西川,平沼,近藤,中田,渡邉,大田,ビヤヌエバ,清宮,清水,上沢
2020,2020-09-08,日本ハム,西川,松本,近藤,中田,渡邉,大田,ビヤヌエバ,平沼,清水,金子
2020,2020-09-09,日本ハム,西川,平沼,近藤,中田,渡邉,大田,清宮,ビヤヌエバ,宇佐見,上原
2020,2020-09-10,日本ハム,西川,平沼,近藤,中田,渡邉,大田,清宮,ビヤヌエバ,清水,吉田輝
2020,2020-09-12,日本ハム,王,近藤,西川,中田,渡邉,大田,ビヤヌエバ,宇佐見,中島卓也,有原
2020,2020-09-13,日本ハム,西川,松本,近藤,中田,渡邉,大田,ビヤヌエバ,清水,中島卓也,バーヘイゲン
2020,2020-09-14,日本ハム,西川,中島卓也,近藤,中田,渡邉,大田,平沼,清宮,清水,上沢
2020,2020-09-15,日本ハム,西川,平沼,近藤,中田,渡邉,大田,王,ビヤヌエバ,宇佐見,杉浦
2020,2020-09-16,日本ハム,大田,中島卓也,西川,中田,近藤,渡邉,清宮,ビヤヌエバ,清水,上原
2020,2020-09-17,日本ハム,杉谷,松本,西川,中田,近藤,大田,ビヤヌエバ,平沼,清水,マルティネス
2020,2020-09-18,日本ハム,西川,松本,近藤,中田,渡邉,清宮,ビヤヌエバ,石井,宇佐見,有原
2020,2020-09-19,日本ハム,大田,平沼,近藤,西川,渡邉,王,清宮,清水,石井,金子
2020,2020-09-21,日本ハム,西川,平沼,近藤,中田,渡邉,大田,王,ビヤヌエバ,清水,上沢
2020,2020-09-22,日本ハム,西川,松本,近藤,中田,渡邉,大田,樋口,清水,中島卓也,バーヘイゲン
2020,2020-09-23,日本ハム,西川,平沼,近藤,中田,渡邉,大田,ビヤヌエバ,清宮,清水,上原
2020,2020-09-24,日本ハム,西川,中島卓也,近藤,中田,渡邉,大田,ビヤヌエバ,清宮,清水,マルティネス
2020,2020-09-25,日本ハム,西川,松本,近藤,中田,渡邉,大田,樋口,平沼,宇佐見,有原
2020,2020-09-26,日本ハム,西川,松本,近藤,中田,渡邉,大田,樋口,平沼,清水,吉田輝
2020,2020-09-28,日本ハム,西川,平沼,近藤,中田,渡邉,大田,樋口,清宮,清水,上沢
2020,2020-09-29,日本ハム,西川,松本,近藤,中田,渡邉,大田,平沼,樋口,清水,バーヘイゲン
2020,2020-09-30,日本ハム,西川,平沼,近藤,中田,渡邉,大田,清宮,樋口,宇佐見,杉浦
2020,2020-10-01,日本ハム,杉谷,近藤,西川,中田,渡邉,大田,ビヤヌエバ,平沼,宇佐見,上原
2020,2020-10-02,日本ハム,西川,平沼,近藤,中田,渡邉,大田,ビヤヌエバ,清宮,宇佐見,有原
2020,2020-10-03,日本ハム,西川,杉谷,近藤,中田,渡邉,大田,ビヤヌエバ,平沼,清水,河野
2020,2020-10-05,日本ハム,西川,平沼,大田,近藤,渡邉,王,清宮,ビヤヌエバ,清水,上沢
2020,2020-10-06,日本ハム,西川,平沼,大田,近藤,王,清宮,樋口,清水,中島卓也,バーヘイゲン
2020,2020-10-07,日本ハム,西川,平沼,近藤,中田,大田,渡邉,杉谷,樋口,清水,マルティネス
2020,2020-10-08,日本ハム,西川,郡,近藤,中田,大田,渡邉,樋口,宇佐見,谷内,杉浦
2020,2020-10-09,日本ハム,淺間,平沼,西川,近藤,中田,渡邉,清宮,樋口,宇佐見,有原
2020,2020-10-10,日本ハム,西川,平沼,大田,中田,渡邉,淺間,樋口,清宮,清水,上原
2020,2020-10-12,日本ハム,淺間,平沼,西川,中田,近藤,大田,渡邉,清水,中島卓也,上沢
2020,2020-10-13,日本ハム,西川,杉谷,大田,中田,近藤,渡邉,清水,樋口,谷内,バーヘイゲン
2020,2020-10-14,日本ハム,西川,平沼,近藤,中田,渡邉,大田,清宮,宇佐見,中島卓也,マルティネス
