Season,Date,Team,Bat1,Bat2,Bat3,Bat4,Bat5,Bat6,Bat7,Bat8,Bat9,OwnSP(optional)
2020,2020-06-18,巨人,吉川尚,坂本,丸,岡本,亀井,中島,パーラ,小林,菅野,
2020,2020-06-19,巨人,吉川尚,坂本,丸,岡本,中島,陽,パーラ,炭谷,田口,
2020,2020-06-20,巨人,湯浅,坂本,丸,岡本,中島,陽,パーラ,小林,サンチェス,
2020,2020-06-22,巨人,北村,坂本,丸,岡本,中島,陽,パーラ,炭谷,戸郷,
2020,2020-06-23,巨人,吉川尚,坂本,丸,岡本,亀井,中島,パーラ,大城,メルセデス,
2020,2020-06-24,巨人,亀井,坂本,丸,岡本,パーラ,中島,吉川尚,炭谷,桜井,
2020,2020-06-25,巨人,北村,丸,坂本,岡本,陽,パーラ,中島,大城,菅野,
2020,2020-06-26,巨人,吉川尚,坂本,丸,岡本,亀井,陽,パーラ,大城,田口,
2020,2020-06-27,巨人,増田大,丸,坂本,岡本,陽,亀井,中島,炭谷,サンチェス,
2020,2020-06-29,巨人,増田大,丸,坂本,岡本,中島,パーラ,ウィーラー,炭谷,戸郷,
2020,2020-06-30,巨人,増田大,丸,坂本,岡本,陽,パーラ,ウィーラー,大城,メルセデス,
2020,2020-07-01,巨人,吉川尚,坂本,丸,岡本,亀井,中島,パーラ,炭谷,桜井,
2020,2020-07-02,巨人,増田大,丸,坂本,岡本,中島,パーラ,ウィーラー,大城,菅野,
2020,2020-07-03,巨人,重信,坂本,丸,岡本,中島,パーラ,大城,吉川尚,田口,
2020,2020-07-04,巨人,重信,坂本,丸,岡本,中島,パーラ,炭谷,若林,サンチェス,
2020,2020-07-08,巨人,増田大,北村,丸,岡本,中島,ウィーラー,パーラ,大城,メルセデス,
2020,2020-07-10,巨人,亀井,坂本,丸,岡本,中島,大城,パーラ,若林,サンチェス,
2020,2020-07-11,巨人,吉川尚,坂本,丸,岡本,亀井,中島,パーラ,炭谷,桜井,
2020,2020-07-13,巨人,亀井,坂本,丸,岡本,大城,中島,パーラ,吉川尚,菅野,
2020,2020-07-14,巨人,北村,坂本,ウィーラー,岡本,中島,パーラ,陽,炭谷,戸郷,
2020,2020-07-15,巨人,亀井,坂本,丸,岡本,大城,中島,ウィーラー,吉川尚,メルセデス,
2020,2020-07-16,巨人,亀井,坂本,丸,岡本,大城,パーラ,ウィーラー,吉川尚,今村,
2020,2020-07-17,巨人,北村,丸,坂本,岡本,中島,ウィーラー,陽,炭谷,サンチェス,
2020,2020-07-18,巨人,亀井,吉川尚,丸,岡本,大城,パーラ,北村,重信,桜井,
2020,2020-07-20,巨人,亀井,坂本,丸,岡本,大城,中島,パーラ,吉川尚,菅野,
