リーグ,チーム,選手名,背番号,ポジション,区分,被打率,被打数,被安打,被本塁打,奪三振,与四球,与死球
セ,横浜DeNAベイスターズ,コックス,42,投,対右打者,0.222,9,2,1,2,1,0
セ,横浜DeNAベイスターズ,コックス,42,投,対左打者,0.25,12,3,0,5,0,0
セ,横浜DeNAベイスターズ,デュプランティエ,0,投,対右打者,0,7,0,0,2,1,0
セ,横浜DeNAベイスターズ,デュプランティエ,0,投,対左打者,0.25,8,2,0,2,3,0
セ,横浜DeNAベイスターズ,マルセリーノ,98,投,対右打者,0.333,6,2,0,0,0,0
セ,横浜DeNAベイスターズ,マルセリーノ,98,投,対左打者,0.375,8,3,1,4,1,0
セ,横浜DeNAベイスターズ,ルイーズ,49,投,対右打者,0,4,0,0,1,0,0
セ,横浜DeNAベイスターズ,ルイーズ,49,投,対左打者,0.5,4,2,0,1,0,0
セ,横浜DeNAベイスターズ,レイノルズ,62,投,対右打者,0.143,7,1,0,2,1,0
セ,横浜DeNAベイスターズ,レイノルズ,62,投,対左打者,0.167,6,1,0,2,1,0
セ,横浜DeNAベイスターズ,伊勢 大夢,13,投,対右打者,0.333,3,1,0,1,0,0
セ,横浜DeNAベイスターズ,伊勢 大夢,13,投,対左打者,0.286,7,2,1,1,1,0
セ,横浜DeNAベイスターズ,吉野 光樹,24,投,対右打者,0.286,7,2,0,1,0,0
セ,横浜DeNAベイスターズ,吉野 光樹,24,投,対左打者,0.25,8,2,0,1,2,0
セ,横浜DeNAベイスターズ,宮城 滝太,65,投,対右打者,0.5,2,1,0,1,0,0
セ,横浜DeNAベイスターズ,宮城 滝太,65,投,対左打者,0.333,3,1,0,1,0,0
セ,横浜DeNAベイスターズ,橋本 達弥,35,投,対右打者,0,3,0,0,1,2,0
セ,横浜DeNAベイスターズ,橋本 達弥,35,投,対左打者,0.167,6,1,0,3,1,0
セ,横浜DeNAベイスターズ,坂本 裕哉,20,投,対右打者,0.429,7,3,0,0,0,0
セ,横浜DeNAベイスターズ,坂本 裕哉,20,投,対左打者,0.25,8,2,0,2,0,0
セ,横浜DeNAベイスターズ,山﨑 康晃,19,投,対右打者,0.25,4,1,0,1,0,0
セ,横浜DeNAベイスターズ,山﨑 康晃,19,投,対左打者,0,3,0,0,1,0,0
セ,横浜DeNAベイスターズ,石田 裕太郎,54,投,対右打者,0.217,23,5,0,7,1,0
セ,横浜DeNAベイスターズ,石田 裕太郎,54,投,対左打者,0.233,30,7,0,7,1,0
セ,横浜DeNAベイスターズ,竹田 祐,12,投,対右打者,0.2,5,1,0,2,1,0
セ,横浜DeNAベイスターズ,竹田 祐,12,投,対左打者,0.417,12,5,0,1,0,0
セ,横浜DeNAベイスターズ,中川 颯,53,投,対右打者,0.6,5,3,0,0,0,0
セ,横浜DeNAベイスターズ,中川 颯,53,投,対左打者,0.5,4,2,0,1,1,0
セ,横浜DeNAベイスターズ,東 克樹,11,投,対右打者,0.194,31,6,2,10,4,0
セ,横浜DeNAベイスターズ,東 克樹,11,投,対左打者,0.176,17,3,0,6,0,0
セ,横浜DeNAベイスターズ,入江 大生,22,投,対右打者,0.231,13,3,1,4,3,0
セ,横浜DeNAベイスターズ,入江 大生,22,投,対左打者,0.409,22,9,1,4,2,0
セ,横浜DeNAベイスターズ,堀岡 隼人,92,投,対右打者,0,3,0,0,1,0,0
セ,横浜DeNAベイスターズ,堀岡 隼人,92,投,対左打者,1,1,1,0,0,1,0
セ,広島東洋カープ,ターノック,42,投,対右打者,0.154,26,4,0,8,1,0
セ,広島東洋カープ,ターノック,42,投,対左打者,0.368,19,7,0,2,0,0
セ,広島東洋カープ,ハーン,68,投,対右打者,0.167,6,1,0,4,1,0
セ,広島東洋カープ,ハーン,68,投,対左打者,0,4,0,0,0,1,0
セ,広島東洋カープ,益田 武尚,26,投,対右打者,0.5,4,2,0,1,0,0
セ,広島東洋カープ,益田 武尚,26,投,対左打者,0.667,3,2,0,0,1,0
セ,広島東洋カープ,岡本 駿,53,投,対右打者,0.067,15,1,0,4,2,0
セ,広島東洋カープ,岡本 駿,53,投,対左打者,0.222,9,2,0,0,0,0
セ,広島東洋カープ,栗林 良吏,20,投,対右打者,0.103,29,3,0,8,0,0
セ,広島東洋カープ,栗林 良吏,20,投,対左打者,0.12,25,3,0,10,0,0
セ,広島東洋カープ,床田 寛樹,19,投,対右打者,0.333,27,9,0,8,0,0
セ,広島東洋カープ,床田 寛樹,19,投,対左打者,0.316,19,6,0,6,2,0
セ,広島東洋カープ,森浦 大輔,13,投,対右打者,0.333,12,4,0,2,1,0
セ,広島東洋カープ,森浦 大輔,13,投,対左打者,0.333,6,2,0,1,0,1
セ,広島東洋カープ,森下 暢仁,18,投,対右打者,0.3,10,3,1,2,1,1
セ,広島東洋カープ,森下 暢仁,18,投,対左打者,0,6,0,0,3,0,0
セ,広島東洋カープ,赤木 晴哉,38,投,対右打者,0.8,5,4,0,0,1,0
セ,広島東洋カープ,赤木 晴哉,38,投,対左打者,0.4,5,2,0,1,0,0
セ,広島東洋カープ,中﨑 翔太,21,投,対右打者,0,7,0,0,3,0,1
セ,広島東洋カープ,中﨑 翔太,21,投,対左打者,0.333,3,1,0,0,0,0
セ,広島東洋カープ,辻 大雅,98,投,対右打者,0,4,0,0,1,3,0
セ,広島東洋カープ,辻 大雅,98,投,対左打者,0.222,9,2,1,1,0,0
セ,広島東洋カープ,島内 颯太郎,43,投,対右打者,0.4,5,2,0,2,2,0
セ,広島東洋カープ,島内 颯太郎,43,投,対左打者,0.25,4,1,0,1,1,0
セ,広島東洋カープ,鈴木 健矢,41,投,対右打者,0.4,5,2,1,1,1,0
セ,広島東洋カープ,鈴木 健矢,41,投,対左打者,1,2,2,0,0,0,0
セ,広島東洋カープ,齊藤 汰直,11,投,対右打者,0.25,4,1,0,0,0,0
セ,広島東洋カープ,齊藤 汰直,11,投,対左打者,0.75,4,3,0,0,1,0
セ,阪神タイガース,ドリス,98,投,対右打者,0.2,10,2,0,1,0,0
セ,阪神タイガース,ドリス,98,投,対左打者,0.333,6,2,0,2,1,0
セ,阪神タイガース,モレッタ,99,投,対右打者,0.125,8,1,0,4,0,0
セ,阪神タイガース,モレッタ,99,投,対左打者,0.111,9,1,0,2,1,0
セ,阪神タイガース,ルーカス,42,投,対右打者,0.25,8,2,1,1,2,0
セ,阪神タイガース,ルーカス,42,投,対左打者,0.417,12,5,0,5,0,0
セ,阪神タイガース,伊原 陵人,18,投,対右打者,0.111,9,1,0,1,0,1
セ,阪神タイガース,伊原 陵人,18,投,対左打者,0,6,0,0,2,2,0
セ,阪神タイガース,伊藤 将司,27,投,対右打者,0.333,6,2,0,0,1,0
セ,阪神タイガース,伊藤 将司,27,投,対左打者,0.667,6,4,0,1,0,0
セ,阪神タイガース,岩崎 優,13,投,対右打者,0.3,10,3,0,2,0,0
セ,阪神タイガース,岩崎 優,13,投,対左打者,0.167,6,1,0,1,0,0
セ,阪神タイガース,及川 雅貴,37,投,対右打者,0,3,0,0,1,1,0
セ,阪神タイガース,及川 雅貴,37,投,対左打者,0.6,5,3,1,0,0,0
セ,阪神タイガース,桐敷 拓馬,47,投,対右打者,0.5,8,4,2,1,0,0
セ,阪神タイガース,桐敷 拓馬,47,投,対左打者,0,6,0,0,1,0,0
セ,阪神タイガース,才木 浩人,35,投,対右打者,0.2,5,1,0,1,1,0
セ,阪神タイガース,才木 浩人,35,投,対左打者,0.188,16,3,1,4,2,0
セ,阪神タイガース,石黒 佑弥,63,投,対右打者,0,2,0,0,2,1,0
セ,阪神タイガース,石黒 佑弥,63,投,対左打者,0,4,0,0,2,0,0
セ,阪神タイガース,早川 太貴,51,投,対右打者,0.2,5,1,0,2,0,0
セ,阪神タイガース,早川 太貴,51,投,対左打者,0.286,7,2,0,2,1,0
セ,阪神タイガース,村上 頌樹,41,投,対右打者,0.13,23,3,1,7,2,0
セ,阪神タイガース,村上 頌樹,41,投,対左打者,0.25,20,5,1,6,2,0
セ,阪神タイガース,大竹 耕太郎,21,投,対右打者,0.125,8,1,0,1,0,0
セ,阪神タイガース,大竹 耕太郎,21,投,対左打者,0.667,9,6,0,1,0,0
セ,阪神タイガース,湯浅 京己,65,投,対右打者,0.5,6,3,1,1,0,0
セ,阪神タイガース,湯浅 京己,65,投,対左打者,0.25,4,1,0,1,1,0
セ,阪神タイガース,木下 里都,54,投,対右打者,0.667,3,2,1,0,0,0
セ,阪神タイガース,木下 里都,54,投,対左打者,0.375,8,3,1,1,0,0
セ,阪神タイガース,髙橋 遥人,29,投,対右打者,0.185,27,5,0,7,2,0
セ,阪神タイガース,髙橋 遥人,29,投,対左打者,0.136,22,3,0,3,1,0
セ,中日ドラゴンズ,アブレウ,28,投,対右打者,1,3,3,0,0,0,0
セ,中日ドラゴンズ,アブレウ,28,投,対左打者,0.5,2,1,0,0,1,0
セ,中日ドラゴンズ,メヒア,91,投,対右打者,0,5,0,0,0,0,0
セ,中日ドラゴンズ,メヒア,91,投,対左打者,0,4,0,0,0,0,0
セ,中日ドラゴンズ,橋本 侑樹,13,投,対右打者,0.2,5,1,0,3,0,0
セ,中日ドラゴンズ,橋本 侑樹,13,投,対左打者,0.286,7,2,0,1,0,0
セ,中日ドラゴンズ,近藤 廉,70,投,対右打者,0.333,3,1,0,0,2,0
セ,中日ドラゴンズ,近藤 廉,70,投,対左打者,0.333,6,2,0,1,0,0
セ,中日ドラゴンズ,金丸 夢斗,21,投,対右打者,0.167,12,2,0,3,1,0
セ,中日ドラゴンズ,金丸 夢斗,21,投,対左打者,0.333,9,3,0,4,1,0
セ,中日ドラゴンズ,根尾 昂,30,投,対右打者,0.2,5,1,0,2,0,1
セ,中日ドラゴンズ,根尾 昂,30,投,対左打者,0,1,0,0,0,1,0
セ,中日ドラゴンズ,勝野 昌慶,41,投,対右打者,0.2,5,1,1,3,2,0
セ,中日ドラゴンズ,勝野 昌慶,41,投,対左打者,0.25,4,1,0,3,1,0
セ,中日ドラゴンズ,大野 雄大,22,投,対右打者,0.133,15,2,0,3,0,0
セ,中日ドラゴンズ,大野 雄大,22,投,対左打者,0.133,15,2,0,3,0,0
セ,中日ドラゴンズ,中西 聖輝,11,投,対右打者,0.111,9,1,0,3,1,1
セ,中日ドラゴンズ,中西 聖輝,11,投,対左打者,0.357,14,5,1,3,0,0
セ,中日ドラゴンズ,藤嶋 健人,54,投,対右打者,0,1,0,0,0,2,0
セ,中日ドラゴンズ,藤嶋 健人,54,投,対左打者,0.333,3,1,0,0,1,0
セ,中日ドラゴンズ,梅野 雄吾,46,投,対右打者,0.2,5,1,0,2,2,0
セ,中日ドラゴンズ,梅野 雄吾,46,投,対左打者,0.75,4,3,0,1,2,0
セ,中日ドラゴンズ,牧野 憲伸,68,投,対右打者,0.333,3,1,0,0,2,0
セ,中日ドラゴンズ,牧野 憲伸,68,投,対左打者,0,3,0,0,1,1,0
セ,中日ドラゴンズ,柳 裕也,17,投,対右打者,0.1,30,3,0,7,0,0
セ,中日ドラゴンズ,柳 裕也,17,投,対左打者,0.25,24,6,0,4,2,0
セ,中日ドラゴンズ,櫻井 頼之介,16,投,対右打者,0.381,21,8,3,4,1,0
セ,中日ドラゴンズ,櫻井 頼之介,16,投,対左打者,0.176,17,3,0,6,2,0
セ,中日ドラゴンズ,齋藤 綱記,59,投,対左打者,1,1,1,0,0,0,0
セ,中日ドラゴンズ,髙橋 宏斗,19,投,対右打者,0.219,32,7,0,12,2,0
セ,中日ドラゴンズ,髙橋 宏斗,19,投,対左打者,0.333,21,7,0,5,2,0
セ,東京ヤクルトスワローズ,キハダ,11,投,対右打者,0.167,6,1,0,2,1,0
セ,東京ヤクルトスワローズ,キハダ,11,投,対左打者,0,3,0,0,1,0,0
セ,東京ヤクルトスワローズ,リランソ,62,投,対右打者,0.167,6,1,0,2,0,0
セ,東京ヤクルトスワローズ,リランソ,62,投,対左打者,0.4,5,2,0,2,1,0
セ,東京ヤクルトスワローズ,奥川 恭伸,18,投,対右打者,0.077,13,1,0,2,0,0
セ,東京ヤクルトスワローズ,奥川 恭伸,18,投,対左打者,0.2,10,2,0,3,0,0
セ,東京ヤクルトスワローズ,吉村 貢司郎,21,投,対右打者,0.32,25,8,1,5,2,0
セ,東京ヤクルトスワローズ,吉村 貢司郎,21,投,対左打者,0.176,17,3,0,8,0,0
セ,東京ヤクルトスワローズ,高梨 裕稔,40,投,対右打者,0.31,29,9,0,9,3,0
セ,東京ヤクルトスワローズ,高梨 裕稔,40,投,対左打者,0.2,15,3,1,2,1,0
セ,東京ヤクルトスワローズ,山野 太一,26,投,対右打者,0.293,41,12,1,6,2,1
セ,東京ヤクルトスワローズ,山野 太一,26,投,対左打者,0.222,9,2,0,5,0,0
セ,東京ヤクルトスワローズ,小川 泰弘,29,投,対右打者,0.333,9,3,0,2,2,1
セ,東京ヤクルトスワローズ,小川 泰弘,29,投,対左打者,0,9,0,0,0,1,1
セ,東京ヤクルトスワローズ,松本 健吾,28,投,対右打者,0.333,3,1,0,1,1,0
セ,東京ヤクルトスワローズ,松本 健吾,28,投,対左打者,0,4,0,0,3,0,0
セ,東京ヤクルトスワローズ,星 知弥,24,投,対右打者,0.333,12,4,0,2,0,0
セ,東京ヤクルトスワローズ,星 知弥,24,投,対左打者,0.5,6,3,0,1,2,0
セ,東京ヤクルトスワローズ,清水 昇,17,投,対右打者,0,2,0,0,0,0,0
セ,東京ヤクルトスワローズ,清水 昇,17,投,対左打者,0.333,3,1,0,0,0,0
セ,東京ヤクルトスワローズ,荘司 宏太,30,投,対右打者,0.25,4,1,0,2,2,0
セ,東京ヤクルトスワローズ,荘司 宏太,30,投,対左打者,0.4,5,2,0,1,0,0
セ,東京ヤクルトスワローズ,大西 広樹,44,投,対右打者,0.333,9,3,0,1,0,0
セ,東京ヤクルトスワローズ,大西 広樹,44,投,対左打者,0.333,3,1,0,0,1,0
セ,東京ヤクルトスワローズ,田口 麗斗,34,投,対右打者,0.333,3,1,0,1,0,0
セ,東京ヤクルトスワローズ,田口 麗斗,34,投,対左打者,0,1,0,0,1,0,0
セ,東京ヤクルトスワローズ,木澤 尚文,20,投,対右打者,0,7,0,0,2,0,1
セ,東京ヤクルトスワローズ,木澤 尚文,20,投,対左打者,0.5,2,1,0,1,2,0
セ,東京ヤクルトスワローズ,廣澤 優,70,投,対右打者,0,6,0,0,0,2,1
セ,東京ヤクルトスワローズ,廣澤 優,70,投,対左打者,0,2,0,0,1,1,0
セ,読売ジャイアンツ,ウィットリー,26,投,対右打者,0.286,14,4,1,3,0,0
セ,読売ジャイアンツ,ウィットリー,26,投,対左打者,0.333,6,2,0,1,0,0
セ,読売ジャイアンツ,ハワード,28,投,対右打者,0.083,12,1,0,3,4,0
セ,読売ジャイアンツ,ハワード,28,投,対左打者,0.381,21,8,0,11,3,0
セ,読売ジャイアンツ,マルティネス,92,投,対右打者,0.667,3,2,0,1,0,0
セ,読売ジャイアンツ,マルティネス,92,投,対左打者,0,2,0,0,0,0,0
